Name,Units,Short,Long,
SysContingencyPct,%,System (Total) Contingency Percentage,
SysDebtScheduleY,yrs,System (Total) Debt Schedule Years,
SysDebtTermY,yrs,System (Total) Debt Term Years,
SysDebttartDate,date,System (Total) Debttart ISO 8601 formatted date,
SysDepStartDate,date,System (Total) Dep Start ISO 8601 formatted date,
SysE,kWh,System (Total) Energy,
SysExpE,kWh,System (Total) Export Energy,
SysExpP,kW,System (Total) Export Active Power,
SysExpQh,kvarh,System (Total) Export Reactive Power Hours,
SysExpS,kVA,System (Total) Export Apparent Power,
SysExpSh,kVAh,System (Total) Export Apparent Power Hours,
SysFinCpiFixedPricePct,%,System (Total) Finance Consumer Price Index Fixed Price Percentage,
SysFinCpiFuelPct,%,System (Total) Finance Consumer Price Index Fuel Percentage,
SysFinCpiOpexPct,%,System (Total) Finance Consumer Price Index Operational Expenditure Percentage,
SysFinCpiPpaPct,%,System (Total) Finance Consumer Price Index Ppa Percentage,
SysFinDebtRatePu,pu,System (Total) Finance Debt Rate Per Unit (0..1),
SysFinLeveragePu,pu,System (Total) Finance Leverage Per Unit (0..1),
SysFinPpaVolE,kWh,System (Total) Finance Ppa Vol Energy,
SysFinProjCostPct,%,System (Total) Finance Proj Cost Percentage,
SysFinRefPriceUsdpere,USD/kWh,System (Total) Finance Ref Price USD per kWh,
SysFinTgtIirPct,%,System (Total) Finance Target Iir Percentage,
SysFinTgtIrrPct,%,System (Total) Finance Target Irr Percentage,
SysOpexAccountUsdpery,USD/y,System (Total) Operational Expenditure Account USD per year,
SysOpexDissassemblerUsdpere,USD/kWh,System (Total) Operational Expenditure Dissassembler USD per kWh,
SysOpexLabourUsdpery,USD/y,System (Total) Operational Expenditure Labour USD per year,
SysOpexMangagementUsdpery,USD/y,System (Total) Operational Expenditure Mangagement USD per year,
SysP,kW,System (Total) Active Power,
SysPf,pf,System (Total) Power Factor,
SysPpaStartDate,date,System (Total) Ppa Start ISO 8601 formatted date,
SysPpaTermY,yrs,System (Total) Ppa Term Years,
SysProjectScheduleY,yrs,System (Total) Project Schedule Years,
SysQh,kvarh,System (Total) Reactive Power Hours,
SysS,kVA,System (Total) Apparent Power,
SysSepSchedukleY,yrs,System (Total) Sep Schedukle Years,
SysSh,kVAh,System (Total) Apparent Power Hours,
